epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,14718.9,0.74541,0.73501,0.00841,0.85945,0.73816,0.83249,0.73427,0.61004,0.73162,0.00715,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14903.3,0.72808,0.73447,0.00829,0.84122,0.75409,0.8324,0.73468,0.60938,0.73012,0.00714,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15087.8,0.728,0.73184,0.00828,0.84655,0.75184,0.83278,0.73572,0.60789,0.72924,0.00712,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15273.8,0.71757,0.68958,0.00794,0.8508,0.7505,0.83312,0.73623,0.60736,0.7286,0.00711,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15459.9,0.71013,0.70841,0.00811,0.84597,0.75445,0.83367,0.73686,0.60626,0.72759,0.0071,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15646.2,0.69922,0.70923,0.00803,0.84039,0.75655,0.83332,0.73688,0.60447,0.72929,0.00707,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15832.3,0.70427,0.6914,0.008,0.84209,0.75493,0.83364,0.73702,0.60329,0.72832,0.00707,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16018.2,0.71203,0.69219,0.00799,0.85176,0.74747,0.83427,0.73808,0.60172,0.72782,0.00703,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16203.4,0.69264,0.65602,0.00766,0.8546,0.74584,0.83443,0.73896,0.60062,0.72756,0.007,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16388.5,0.68221,0.66931,0.00773,0.8394,0.75618,0.83446,0.73937,0.59962,0.72819,0.00698,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16574.4,0.67393,0.63793,0.00754,0.85316,0.74495,0.83511,0.74039,0.59829,0.72758,0.00697,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16760.1,0.68049,0.63947,0.00757,0.86628,0.73669,0.8355,0.74057,0.59722,0.72769,0.00694,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,16948.7,0.54754,0.30541,0.00607,0.88182,0.73339,0.83565,0.74083,0.59546,0.72753,0.00692,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17134.6,0.53153,0.29646,0.0059,0.88127,0.73357,0.83594,0.7412,0.59417,0.72858,0.00689,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17321.8,0.52675,0.30575,0.00572,0.86313,0.74488,0.83477,0.74038,0.59347,0.72891,0.00687,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17506.5,0.5238,0.28397,0.00552,0.86718,0.7464,0.83587,0.74163,0.59226,0.72851,0.00685,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,17692,0.51047,0.26953,0.00551,0.86315,0.75187,0.83643,0.74283,0.59042,0.72885,0.00682,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,17877.6,0.49396,0.26963,0.00544,0.86864,0.74773,0.83642,0.74309,0.58891,0.73119,0.00678,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18063.2,0.49508,0.26653,0.00534,0.86771,0.74682,0.83617,0.74311,0.58821,0.73246,0.00676,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18249.4,0.52079,0.27724,0.00534,0.87303,0.74245,0.83492,0.74287,0.58669,0.73454,0.00673,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,18433.7,0.48515,0.25048,0.00529,0.87574,0.74197,0.83533,0.74305,0.58512,0.73595,0.00669,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,18617.5,0.48544,0.2585,0.00515,0.87553,0.74132,0.83486,0.7427,0.58413,0.73789,0.00666,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
