epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,13196.9,0.48186,0.45916,0.00486,0.84722,0.69589,0.78568,0.71677,0.4957,0.90851,0.00561,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13390.6,0.46635,0.42719,0.00479,0.86671,0.69099,0.78825,0.71903,0.49547,0.90791,0.00561,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13585.9,0.47708,0.42112,0.00463,0.86099,0.69284,0.78699,0.71796,0.49555,0.9083,0.00561,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13780.6,0.48916,0.43452,0.00468,0.84704,0.70107,0.78779,0.719,0.49538,0.90932,0.0056,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13974.4,0.4591,0.41268,0.00455,0.8519,0.69636,0.78841,0.71966,0.49501,0.90997,0.00558,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14170.8,0.45283,0.39399,0.00438,0.84096,0.70672,0.78891,0.71958,0.49489,0.91092,0.00558,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,14364.5,0.45893,0.3963,0.00453,0.84311,0.70719,0.78918,0.71969,0.49465,0.91186,0.00559,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,14560.2,0.44282,0.38771,0.00438,0.8412,0.70395,0.78762,0.71833,0.49295,0.91562,0.00555,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14755.1,0.44067,0.36515,0.00421,0.83062,0.71358,0.78759,0.7188,0.49277,0.91766,0.00554,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14949.7,0.44792,0.38619,0.00429,0.82786,0.70827,0.78705,0.71883,0.49235,0.91983,0.00553,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15143.5,0.4364,0.37993,0.00438,0.83055,0.7148,0.78852,0.72042,0.4918,0.91875,0.00553,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15339.6,0.42466,0.36033,0.00402,0.83258,0.71251,0.78841,0.72036,0.49128,0.9195,0.00552,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15532.3,0.40253,0.3488,0.00395,0.83264,0.70941,0.78713,0.71945,0.49129,0.92088,0.00552,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15725,0.41476,0.36324,0.00409,0.84932,0.70509,0.78783,0.72013,0.49031,0.92289,0.00551,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15917.5,0.4024,0.33533,0.00394,0.8482,0.70461,0.78618,0.71825,0.49038,0.92728,0.0055,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16111.9,0.39491,0.32743,0.00373,0.84991,0.70664,0.78733,0.71943,0.49064,0.92683,0.0055,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,16305.1,0.38744,0.32068,0.00382,0.8567,0.70109,0.78692,0.71897,0.49026,0.92682,0.0055,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16499.3,0.38079,0.31091,0.00374,0.85398,0.70107,0.78707,0.71928,0.4905,0.92815,0.00551,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16693.4,0.39069,0.3295,0.00375,0.86459,0.69414,0.7871,0.71939,0.49031,0.92975,0.0055,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16888.6,0.38372,0.31713,0.00363,0.85651,0.69843,0.78623,0.71813,0.49102,0.93341,0.00552,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17083,0.36215,0.3025,0.00358,0.85775,0.70047,0.78685,0.71885,0.49082,0.93217,0.00552,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,17277.6,0.35992,0.30019,0.00347,0.8563,0.70037,0.78714,0.71905,0.49068,0.93353,0.00552,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17472.1,0.36154,0.30038,0.00348,0.85704,0.70092,0.78721,0.71917,0.49094,0.93449,0.00552,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17667.9,0.22749,0.10671,0.00189,0.86016,0.69778,0.78738,0.71984,0.49132,0.93353,0.00554,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17861.4,0.19159,0.08683,0.00155,0.85662,0.69911,0.78654,0.71917,0.4912,0.93378,0.00553,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18055.3,0.18566,0.08393,0.00143,0.85568,0.69839,0.78639,0.71899,0.49128,0.93765,0.00552,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18249.1,0.17485,0.07662,0.00134,0.85482,0.6974,0.78602,0.71887,0.49129,0.93944,0.00553,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18442.8,0.16098,0.07078,0.00127,0.86566,0.69084,0.78736,0.72016,0.49112,0.94268,0.00553,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18637.7,0.15143,0.06494,0.00121,0.86946,0.68955,0.78686,0.71998,0.49112,0.94645,0.00553,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18831.1,0.1402,0.0594,0.0011,0.86234,0.68958,0.78577,0.71921,0.49103,0.95107,0.00553,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19025.6,0.14529,0.05746,0.00108,0.87045,0.68707,0.78501,0.71876,0.49161,0.95368,0.00554,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
