epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,14405,0.55339,0.44174,0.00461,0.87549,0.74877,0.84355,0.77275,0.46115,0.69242,0.00505,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14594.8,0.54325,0.43526,0.00447,0.87464,0.75302,0.84377,0.77357,0.46024,0.69441,0.00504,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14782.6,0.54789,0.43145,0.00447,0.88698,0.74184,0.84272,0.77337,0.45977,0.6959,0.00503,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14972.6,0.54641,0.44862,0.00457,0.87549,0.75513,0.8436,0.77466,0.45937,0.69483,0.00503,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,15163.2,0.52448,0.4197,0.00435,0.87934,0.75377,0.8439,0.7751,0.45847,0.69546,0.00501,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,15355.6,0.51901,0.41179,0.00434,0.87885,0.75531,0.84391,0.77533,0.45748,0.69754,0.005,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15547.6,0.51852,0.39789,0.00428,0.8794,0.75574,0.84313,0.77396,0.45687,0.69954,0.00499,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15738.4,0.50481,0.38559,0.00405,0.88171,0.75334,0.84313,0.77418,0.4568,0.70023,0.00499,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15929.3,0.4961,0.37775,0.00398,0.88119,0.75408,0.84379,0.77495,0.45668,0.70147,0.00499,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,16120.3,0.48816,0.38548,0.00409,0.88108,0.7538,0.84379,0.77518,0.45628,0.7019,0.00498,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16309.8,0.48603,0.38268,0.00401,0.86439,0.76483,0.84377,0.77519,0.45564,0.70119,0.00498,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16499.7,0.49895,0.38143,0.00397,0.88064,0.75225,0.84328,0.77501,0.45483,0.70286,0.00498,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16689.9,0.47957,0.35937,0.0038,0.88123,0.74977,0.8435,0.77567,0.45535,0.70303,0.00499,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16881.2,0.4695,0.36347,0.00388,0.89058,0.74391,0.84119,0.7738,0.45478,0.70431,0.00498,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,17071.1,0.4657,0.34752,0.00373,0.8914,0.74411,0.8414,0.77411,0.45477,0.70434,0.00498,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,17259.6,0.46184,0.34806,0.0037,0.89374,0.74585,0.84171,0.77444,0.4549,0.70514,0.00498,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17453,0.33456,0.16396,0.00255,0.88814,0.74671,0.84075,0.77302,0.45499,0.70684,0.00498,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17641.8,0.32367,0.15119,0.00246,0.89,0.7469,0.84067,0.77293,0.45496,0.71003,0.00498,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17829.6,0.32822,0.15153,0.00234,0.88857,0.74512,0.84119,0.77347,0.45504,0.71221,0.00498,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,18018.4,0.32632,0.15125,0.00225,0.88818,0.74601,0.84005,0.77262,0.4548,0.71528,0.00497,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18207.6,0.31663,0.14182,0.00223,0.88794,0.74567,0.84142,0.77421,0.45453,0.71835,0.00497,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18398.3,0.30462,0.13874,0.0022,0.88526,0.74437,0.84062,0.77348,0.45484,0.72111,0.00498,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18588.4,0.30465,0.13072,0.00216,0.87943,0.75009,0.84163,0.7747,0.45486,0.72245,0.00499,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18779.4,0.31856,0.14361,0.00209,0.87799,0.75083,0.84127,0.77404,0.45538,0.72422,0.00499,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,18973,0.29472,0.13569,0.00205,0.8775,0.74823,0.84106,0.77412,0.45559,0.72613,0.00499,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19167.3,0.2921,0.12608,0.00198,0.87412,0.74983,0.8409,0.77386,0.4555,0.72967,0.00499,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
